article.id,segment_n,soil_moist,dist,moist_diff,stat_sig,percent_diff,season,matrix_type,edge_orient,edge_age_years,finer_scale,SD_SE_CI_V,SD_SE_CI_V_n,notes
30,a,21.56,-15,NA,NA,NA,summer,field,NE,0.5,NA,SE,1.16,site1
30,a,21.35,-10,NA,NA,NA,summer,field,NE,0.5,NA,SE,1.75,site1
30,a,12.64,-5,NA,NA,NA,summer,field,NE,0.5,NA,SE,2.43,site1
30,a,14.11,0,NA,NA,NA,summer,field,NE,0.5,NA,SE,1.81,site1
30,a,10.97,5,NA,NA,NA,summer,field,NE,0.5,NA,SE,1.88,site1
30,a,13.95,10,NA,NA,NA,summer,field,NE,0.5,NA,SE,1.47,site1
30,a,13.27,20,NA,NA,NA,summer,field,NE,0.5,NA,SE,2.08,site1
30,a,10.71,30,NA,NA,NA,summer,field,NE,0.5,NA,SE,2.02,site1
30,b,10.31,-20,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,1.91,site2
30,b,10.04,-10,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,2.15,site2
30,b,8.13,-5,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,1.43,site2
30,b,7.00,0,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,0.58,site2
30,b,6.66,5,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,0.55,site2
30,b,6.67,10,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,0.95,site2
30,b,7.87,15,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,1.33,site2
30,b,10.33,25,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,1.27,site2
30,b,6.37,35,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,0.82,site2
55,a,57.57,0,NA,NA,NA,wet,powerline,NA,15,NA,SE,2.38,
55,a,64.70,2,NA,NA,NA,wet,powerline,NA,15,NA,SE,2.72,
55,a,65.38,4,NA,NA,NA,wet,powerline,NA,15,NA,SE,0.68,
55,a,66.39,8,NA,NA,NA,wet,powerline,NA,15,NA,SE,3.40,
55,a,69.10,12,NA,NA,NA,wet,powerline,NA,15,NA,SE,12.23,
55,a,58.57,16,NA,NA,NA,wet,powerline,NA,15,NA,SE,2.38,
55,a,60.60,20,NA,NA,NA,wet,powerline,NA,15,NA,SE,1.70,
55,a,69.76,25,NA,NA,NA,wet,powerline,NA,15,NA,SE,11.21,
55,a,63.98,30,NA,NA,NA,wet,powerline,NA,15,NA,SE,1.02,
55,a,51.71,50,NA,NA,NA,wet,powerline,NA,15,NA,SE,14.95,
55,a,54.01,100,NA,NA,NA,wet,powerline,NA,15,NA,SE,4.42,
55,1,49.76,0,NA,NA,NA,dry,powerline,NA,15,NA,SE,3.06,
55,1,49.42,2,NA,NA,NA,dry,powerline,NA,15,NA,SE,3.40,
55,1,52.47,4,NA,NA,NA,dry,powerline,NA,15,NA,SE,3.40,
55,1,49.75,8,NA,NA,NA,dry,powerline,NA,15,NA,SE,2.04,
55,1,49.40,12,NA,NA,NA,dry,powerline,NA,15,NA,SE,4.76,
55,1,46.00,16,NA,NA,NA,dry,powerline,NA,15,NA,SE,3.06,
55,1,51.76,20,NA,NA,NA,dry,powerline,NA,15,NA,SE,3.74,
55,1,49.04,25,NA,NA,NA,dry,powerline,NA,15,NA,SE,1.36,
55,1,50.39,30,NA,NA,NA,dry,powerline,NA,15,NA,SE,1.36,
55,1,51.03,50,NA,NA,NA,dry,powerline,NA,15,NA,SE,3.06,
55,1,42.12,100,NA,NA,NA,dry,powerline,NA,15,NA,SE,3.40,
55,b,56.25,0,NA,NA,NA,wet,highway,NA,15,NA,SE,4.25,
55,b,66.16,2,NA,NA,NA,wet,highway,NA,15,NA,SE,7.31,
55,b,62.62,4,NA,NA,NA,wet,highway,NA,15,NA,SE,8.02,
55,b,64.74,8,NA,NA,NA,wet,highway,NA,15,NA,SE,7.08,
55,b,69.93,12,NA,NA,NA,wet,highway,NA,15,NA,SE,8.26,
55,b,68.75,16,NA,NA,NA,wet,highway,NA,15,NA,SE,8.26,
55,b,72.06,20,NA,NA,NA,wet,highway,NA,15,NA,SE,10.14,
55,b,73.94,25,NA,NA,NA,wet,highway,NA,15,NA,SE,9.44,
55,b,69.46,30,NA,NA,NA,wet,highway,NA,15,NA,SE,5.90,
55,b,65.45,50,NA,NA,NA,wet,highway,NA,15,NA,SE,2.83,
55,b,65.45,100,NA,NA,NA,wet,highway,NA,15,NA,SE,11.56,
55,2,45.87,0,NA,NA,NA,dry,highway,NA,15,NA,SE,3.54,
55,2,48.46,2,NA,NA,NA,dry,highway,NA,15,NA,SE,4.25,
55,2,48.46,4,NA,NA,NA,dry,highway,NA,15,NA,SE,4.72,
55,2,52.24,8,NA,NA,NA,dry,highway,NA,15,NA,SE,4.72,
55,2,53.42,12,NA,NA,NA,dry,highway,NA,15,NA,SE,5.19,
55,2,51.30,16,NA,NA,NA,dry,highway,NA,15,NA,SE,4.72,
55,2,55.54,20,NA,NA,NA,dry,highway,NA,15,NA,SE,5.43,
55,2,56.25,25,NA,NA,NA,dry,highway,NA,15,NA,SE,4.01,
55,2,52.71,30,NA,NA,NA,dry,highway,NA,15,NA,SE,6.84,
55,2,54.60,50,NA,NA,NA,dry,highway,NA,15,NA,SE,4.72,
55,2,46.58,100,NA,NA,NA,dry,highway,NA,15,NA,SE,8.73,
43,a,25.05,0,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,a,24.10,2,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,a,24.93,5,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,a,24.67,10,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,a,29.45,15,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,a,28.78,25,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,a,31.38,40,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,a,26.87,60,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,a,27.97,80,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,a,30.71,100,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,a,33.17,175,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Brownfield.Woods
43,1,23.00,0,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Brownfield.Woods
43,1,25.74,2,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Brownfield.Woods
43,1,25.20,5,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Brownfield.Woods
