article.id,segment_n,PAR,log_value,dist,PAR_diff,stat_sig,percent_diff,season,matrix_type,edge_orient,edge_age_years,finer_scale,SD_SE_CI_V,SD_SE_CI_V_n,notes
55,b,NA,11.04,12,NA,NA,NA,wet,highway,NA,15,NA,SE,1.83,micromol m-2 s-1
55,b,NA,5.80,16,NA,NA,NA,wet,highway,NA,15,NA,SE,1.17,micromol m-2 s-1
55,b,NA,6.98,20,NA,NA,NA,wet,highway,NA,15,NA,SE,1.41,micromol m-2 s-1
55,b,NA,6.98,25,NA,NA,NA,wet,highway,NA,15,NA,SE,1.67,micromol m-2 s-1
55,b,NA,4.83,30,NA,NA,NA,wet,highway,NA,15,NA,SE,1.34,micromol m-2 s-1
55,b,NA,10.71,50,NA,NA,NA,wet,highway,NA,15,NA,SE,3.40,micromol m-2 s-1
55,b,NA,11.04,100,NA,NA,NA,wet,highway,NA,15,NA,SE,6.98,micromol m-2 s-1
55,2,NA,25.51,0,NA,NA,NA,dry,highway,NA,15,NA,SE,7.42,micromol m-2 s-1
55,2,NA,14.18,2,NA,NA,NA,dry,highway,NA,15,NA,SE,10.68,micromol m-2 s-1
55,2,NA,9.43,4,NA,NA,NA,dry,highway,NA,15,NA,SE,4.05,micromol m-2 s-1
55,2,NA,4.73,8,NA,NA,NA,dry,highway,NA,15,NA,SE,0.78,micromol m-2 s-1
55,2,NA,8.30,12,NA,NA,NA,dry,highway,NA,15,NA,SE,2.64,micromol m-2 s-1
55,2,NA,4.50,16,NA,NA,NA,dry,highway,NA,15,NA,SE,1.35,micromol m-2 s-1
55,2,NA,5.11,20,NA,NA,NA,dry,highway,NA,15,NA,SE,1.80,micromol m-2 s-1
55,2,NA,6.94,25,NA,NA,NA,dry,highway,NA,15,NA,SE,1.57,micromol m-2 s-1
55,2,NA,4.98,30,NA,NA,NA,dry,highway,NA,15,NA,SE,0.97,micromol m-2 s-1
55,2,NA,4.61,50,NA,NA,NA,dry,highway,NA,15,NA,SE,0.90,micromol m-2 s-1
55,2,NA,6.11,100,NA,NA,NA,dry,highway,NA,15,NA,SE,1.38,micromol m-2 s-1
71,a,101.56,NA,-25,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,a,4.24,NA,15,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,a,4.87,NA,45,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,a,18.95,NA,55,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,c,68.68,NA,-25,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,c,60.62,NA,-15,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,c,14.98,NA,0,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,c,2.89,NA,15,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,c,2.18,NA,55,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,c,8.86,NA,80,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,e,115.63,NA,-15,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,e,69.33,NA,-5,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,e,4.91,NA,15,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,e,3.53,NA,45,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,e,7.55,NA,55,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,e,2.12,NA,100,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,e,1.40,NA,150,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,e,2.70,NA,190,NA,NA,NA,summer,pasture,S,NA,NA,NA,NA,mol m-2 week -1
71,d,115.64,NA,-30,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,d,35.79,NA,-10,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,d,16.33,NA,0,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,d,1.55,NA,15,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,d,4.22,NA,30,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,d,8.22,NA,50,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,d,1.45,NA,100,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,d,2.74,NA,150,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
71,d,27.51,NA,200,NA,NA,NA,summer,pasture,N,NA,NA,NA,NA,mol m-2 week -1
