"distance","VPD"
-10,212.959218652483
0,123.020864779613
10,52.3748525491905
20,38.6021970126452
30,25.0157369273329
40,17.3903626723976
50,12.7015956529012
60,8.57559968198868
70,5.27387365400851
80,2.44933632655106
90,0.0738926520172676
100,-1.88055241719196
110,-3.44209392867571
120,-4.63882693003307
130,-5.4988464688631
140,-6.0502475927649
150,-6.32112534933754
160,-6.33957478618013
170,-6.13369095089172
180,-5.73156889107142
190,-5.16130365431829
200,-4.45099028823143
