"","article.id","segment_n","just.dist","edge_age_years","season.f","matrix_type.f","edge_orient.f","percentrh_diff","percentsm_diff","percent_diff","percentPAR_diff","percentst_diff","percentVPD_diff","percentws_diff"
"72",15,"d",10,NA,4,21,2,NA,NA,0.01,NA,NA,0.01,NA
"73",15,"d",20,NA,4,21,2,NA,NA,0.01,NA,NA,0,NA
"74",15,"d",30,NA,4,21,2,NA,NA,0,NA,NA,0,NA
"75",15,"d",40,NA,4,21,2,NA,NA,0.01,NA,NA,0.01,NA
"76",15,"d",50,NA,4,21,2,NA,NA,0,NA,NA,0,NA
"77",19,"a",-10,19,4,NA,NA,NA,NA,-0.02,NA,NA,NA,NA
"78",19,"a",-5,19,4,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
"79",19,"a",0,19,4,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
"80",19,"a",5,19,4,NA,NA,NA,NA,-0.02,NA,NA,NA,NA
"81",19,"a",10,19,4,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
"82",19,"a",20,19,4,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
"83",19,"a",30,19,4,NA,NA,NA,NA,0,NA,NA,NA,NA
"84",19,"b",-10,4,4,NA,NA,NA,NA,0.07,NA,NA,NA,NA
"85",19,"b",-5,4,4,NA,NA,NA,NA,0.06,NA,NA,NA,NA
"86",19,"b",0,4,4,NA,NA,NA,NA,0.05,NA,NA,NA,NA
"87",19,"b",5,4,4,NA,NA,NA,NA,0.04,NA,NA,NA,NA
"88",19,"b",10,4,4,NA,NA,NA,NA,0.03,NA,NA,NA,NA
"89",19,"b",20,4,4,NA,NA,NA,NA,0.01,NA,NA,NA,NA
"90",19,"b",30,4,4,NA,NA,NA,NA,0,NA,NA,NA,NA
"91",20,NA,0,NA,NA,NA,NA,-0.0951625819640404,NA,-0.07,NA,NA,NA,NA
"92",20,NA,50,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
"93",24,NA,-10,NA,1,11,6,-0.0392105608476768,NA,0.03,NA,0.29,NA,NA
"94",24,NA,0,NA,1,11,6,-0.0768836536133642,NA,-0.01,NA,-0.1,NA,NA
"95",24,NA,10,NA,1,11,6,-0.0768836536133642,NA,-0.02,NA,-0.12,NA,NA
"96",24,NA,25,NA,1,11,6,-0.0582354664157513,NA,0.02,NA,-0.04,NA,NA
"97",24,NA,40,NA,1,11,6,-0.048770575499286,NA,0,NA,-0.06,NA,NA
"98",24,NA,55,NA,1,11,6,-0.0582354664157513,NA,0.03,NA,-0.08,NA,NA
"99",24,NA,70,NA,1,11,6,-0.0295544664514918,NA,0.01,NA,-0.12,NA,NA
"100",24,NA,85,NA,1,11,6,0,NA,0,NA,0,NA,NA
"101",25,NA,0,NA,NA,7,NA,NA,0.0408107741923882,0.08,NA,0.11,NA,1.08
"102",25,NA,30,NA,NA,7,NA,NA,0.0304545339535169,0.06,NA,0.05,NA,0.74
"103",25,NA,60,NA,NA,7,NA,NA,-0.0295544664514918,0.07,NA,0.05,NA,-0.42
"104",25,NA,90,NA,NA,7,NA,NA,-0.048770575499286,0.07,NA,0.07,NA,-0.39
"105",25,NA,120,NA,NA,7,NA,NA,0.0304545339535169,0.01,NA,0.01,NA,-0.61
"106",25,NA,150,NA,NA,7,NA,NA,0,0,NA,0,NA,0
"107",30,"a",-10,0.5,4,5,4,-0.0198013266932447,1.69123447234926,0.04,8.35,0.1,NA,NA
"108",30,"a",-5,0.5,4,5,4,0.0304545339535169,0.19721736312181,0.02,3.67,0.02,NA,NA
"109",30,"a",0,0.5,4,5,4,0.0408107741923882,0.377127764335957,-0.01,0.26,-0.01,NA,NA
"110",30,"a",5,0.5,4,5,4,0.0408107741923882,0.0202013400267558,0,1,-0.01,NA,NA
"111",30,"a",10,0.5,4,5,4,0.0408107741923882,0.349858807576003,0,0.75,0,NA,NA
"112",30,"a",15,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA,NA
"113",30,"a",20,0.5,4,5,4,0.0100501670841681,0.271249150321405,-0.01,0.79,0.01,NA,NA
"114",30,"a",25,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA
"115",30,"a",30,0.5,4,5,4,0,0,0,-0.19,0,NA,NA
"116",30,"a",35,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"117",30,"b",-10,0.5,4,9,5,-0.189415754029813,0.786038430750073,0.19,19.2,0.23,NA,NA
"118",30,"b",-5,0.5,4,9,5,-0.121904569079439,0.323129812337437,0.1,15.1,0.21,NA,NA
"119",30,"b",0,0.5,4,9,5,-0.048770575499286,0.105170918075648,-0.03,0.19,0.03,NA,NA
"120",30,"b",5,0.5,4,9,5,0.0202013400267558,0.051271096376024,-0.02,1.03,0.01,NA,NA
"121",30,"b",10,0.5,4,9,5,0.0100501670841681,0.051271096376024,-0.04,0.35,0.01,NA,NA
"122",30,"b",15,0.5,4,9,5,-0.0295544664514918,0.271249150321405,-0.02,0.51,0,NA,NA
"123",30,"b",20,NA,NA,NA,NA,NA,NA,NA,-0.72,NA,NA,NA
"124",30,"b",25,0.5,4,9,5,-0.0198013266932447,0.858928041846342,-0.03,-0.78,0,NA,NA
"125",30,"b",30,NA,NA,NA,NA,NA,NA,NA,-0.81,NA,NA,NA
"126",30,"b",35,0.5,4,9,5,0,0,0,0,NA,NA,NA
"127",31,NA,0,NA,5,NA,NA,NA,NA,0.06,NA,NA,NA,NA
