"distance","RH"
-10,-12.3940921647412
0,-7.09582486330872
10,-3.49530635666192
20,-1.7785322291577
30,-1.35807597705047
40,-1.02185052082971
50,-0.77911734036294
60,-0.579875992169131
70,-0.359431679358819
80,-0.0801270678806231
90,0.17691707313286
100,0.411531431736841
110,0.624459472086018
120,0.816444658335084
130,0.988230454638738
140,1.14056032515167
150,1.27417773402859
160,1.38982614542418
170,1.48824902349314
180,1.57018983239017
190,1.63639203626996
200,1.68759909928721
