"distance","ST"
-10,20.4871620291019
0,15.4425334281961
10,6.92750275056501
20,5.02187511204772
30,2.26306674571199
40,0.459263382436983
50,-0.705409437243645
60,-1.36400249938451
70,-1.84160861200722
80,-2.19978779401529
90,-2.44856973214054
100,-2.59798411311482
110,-2.65806062366999
120,-2.63882895053789
130,-2.55031878045037
140,-2.40255980013927
150,-2.20558169633645
160,-1.96941415577374
170,-1.704086865183
180,-1.41962951129608
190,-1.12607178084481
200,-0.833443360561054
