"distance","SM"
-10,-8.65845592169407
0,-4.87855040565623
10,-1.18562673480044
20,2.94548096241286
30,-0.22050888200861
40,-5.25208938839164
50,-10.1440257929417
60,-14.0052745277722
70,-14.7797181126751
80,-14.3196895942016
90,-13.2752642939749
100,-12.2965175336178
110,-11.5652976341216
120,-10.8313664431369
130,-10.0966695722766
140,-9.36315263315345
150,-8.63276123738013
160,-7.90744099656943
170,-7.18913752233412
180,-6.47979642628695
190,-5.78136332004069
200,-5.09578381520811
