"distance","WS"
-10,564.433371174472
0,244.562617833506
10,57.0317577234
20,16.0332361736016
30,6.4202544936544
40,0.627837934831045
50,-10.1731099297973
60,-16.4602018658494
70,-23.4281000275576
80,-29.669489077849
90,-34.5793693455447
100,-37.5527411594658
110,-37.9846048484334
120,-35.2699607412687
130,-31.1722953333519
140,-27.7675898179004
150,-24.9195865704913
160,-22.4920279667015
170,-20.3486563821081
180,-18.3532141922881
190,-16.3694437728185
200,-14.2610874992762
